timestamp,open,high,low,close,adjustedClose,volume
2025-01-02T03:00:00Z,59.5,60.0,59.25,59.75,58.85375213623047,9931100
2025-01-03T03:00:00Z,60.0,60.25,59.25,59.25,58.36125183105469,7741400
2025-01-06T03:00:00Z,59.75,60.0,58.75,59.0,58.1150016784668,12331900
2025-01-07T03:00:00Z,59.0,60.0,58.75,60.0,59.10000228881836,13989300
2025-01-08T03:00:00Z,59.5,59.75,58.75,59.5,58.60750198364258,12180100
2025-01-09T03:00:00Z,59.25,59.5,58.75,59.0,58.1150016784668,10316100
2025-01-10T03:00:00Z,59.0,59.0,58.0,58.25,57.376251220703125,19084300
2025-01-13T03:00:00Z,57.75,57.75,55.75,56.5,55.65250015258789,37410000
2025-01-14T03:00:00Z,57.25,58.5,56.5,57.0,56.14500045776367,25279600
2025-01-15T03:00:00Z,57.0,57.5,56.5,57.5,56.63750076293945,18142600
2025-01-16T03:00:00Z,57.75,58.0,56.75,57.25,56.39125061035156,12118900
2025-01-17T03:00:00Z,57.5,58.0,57.0,57.25,56.39125061035156,12636500
2025-01-20T03:00:00Z,57.5,57.5,56.75,57.5,56.63750076293945,9806400
2025-01-21T03:00:00Z,57.75,58.5,57.25,57.75,56.883750915527344,13671600
2025-01-22T03:00:00Z,57.75,58.5,57.75,58.25,57.376251220703125,11939500
2025-01-23T03:00:00Z,57.75,58.0,57.0,57.0,56.14500045776367,14173100
2025-01-24T03:00:00Z,57.25,57.5,56.0,56.25,55.40625,17712800
2025-01-27T03:00:00Z,56.0,56.25,55.25,55.5,54.66749954223633,16334600
2025-01-28T03:00:00Z,55.5,56.0,55.25,56.0,55.15999984741211,19474600
2025-01-29T03:00:00Z,56.5,56.5,55.5,56.0,55.15999984741211,8420800
2025-01-30T03:00:00Z,55.75,56.25,55.75,56.25,55.40625,5487000
2025-01-31T03:00:00Z,56.5,56.5,55.25,55.25,54.42124938964844,18478200
2025-02-03T03:00:00Z,53.75,55.0,53.5,55.0,54.17499923706055,26729400
2025-02-04T03:00:00Z,55.25,56.5,55.25,56.0,55.15999984741211,16523000
2025-02-05T03:00:00Z,57.0,57.75,56.5,56.75,55.89875030517578,24754100
2025-02-06T03:00:00Z,57.0,57.25,55.5,55.75,54.91374969482422,19703400
2025-02-07T03:00:00Z,56.25,56.5,55.5,56.0,55.15999984741211,23598200
2025-02-10T03:00:00Z,55.75,55.75,53.75,54.25,53.43625259399414,41874100
2025-02-11T03:00:00Z,54.25,55.5,54.0,54.75,53.928749084472656,23479000
2025-02-13T03:00:00Z,54.75,55.25,54.0,54.5,53.682498931884766,26827400
2025-02-14T03:00:00Z,54.25,54.25,46.5,47.0,46.29500198364258,174946100
2025-02-17T03:00:00Z,43.75,45.0,41.5,43.25,42.60124969482422,144230400
2025-02-18T03:00:00Z,44.0,44.5,42.75,43.5,42.84749984741211,65281200
2025-02-19T03:00:00Z,43.25,44.0,42.75,43.25,42.60124969482422,58628000
2025-02-20T03:00:00Z,43.0,44.25,42.75,43.75,43.09375,39546700
2025-02-21T03:00:00Z,43.75,44.25,43.5,43.5,42.84749984741211,19304700
2025-02-24T03:00:00Z,43.5,43.5,42.0,42.0,41.369998931884766,39241000
2025-02-25T03:00:00Z,42.0,43.0,41.5,42.25,41.616249084472656,40372200
2025-02-26T03:00:00Z,42.0,43.25,41.75,43.25,42.60124969482422,63117200
2025-02-27T03:00:00Z,42.75,44.25,42.75,43.5,42.84749984741211,39452400
2025-02-28T03:00:00Z,42.75,43.25,42.0,43.25,42.60124969482422,42453200
2025-03-03T03:00:00Z,43.25,43.5,41.75,42.25,41.616249084472656,25985100
2025-03-04T03:00:00Z,42.25,43.25,39.5,39.75,39.153751373291016,74421400
2025-03-05T03:00:00Z,40.25,42.0,40.0,41.75,41.123748779296875,67767100
2025-03-06T03:00:00Z,41.75,41.75,40.5,40.5,39.89250183105469,36716000
2025-03-07T03:00:00Z,40.5,40.5,39.75,40.25,39.6462516784668,36754900
2025-03-10T03:00:00Z,40.0,40.25,38.5,38.75,38.16875076293945,42165700
2025-03-11T03:00:00Z,38.25,41.25,37.75,40.75,40.13875198364258,80030600
2025-03-12T03:00:00Z,41.25,41.25,39.0,39.75,39.153751373291016,58717200
2025-03-13T03:00:00Z,39.75,40.0,39.0,39.25,38.661251068115234,27378500
2025-03-14T03:00:00Z,39.5,40.25,39.25,40.0,39.400001525878906,35667300
2025-03-17T03:00:00Z,40.25,40.25,38.75,39.25,38.661251068115234,22886400
2025-03-18T03:00:00Z,39.5,39.75,38.75,39.5,38.907501220703125,19444100
2025-03-19T03:00:00Z,40.0,41.5,39.5,41.0,40.38500213623047,59900800
2025-03-20T03:00:00Z,41.25,41.5,40.25,40.5,39.89250183105469,29830900
2025-03-21T03:00:00Z,40.25,40.75,40.0,40.0,39.400001525878906,22857000
2025-03-24T03:00:00Z,40.0,40.75,39.75,40.75,40.13875198364258,12499000
2025-03-25T03:00:00Z,40.5,40.5,39.75,40.0,39.400001525878906,20344800
2025-03-26T03:00:00Z,40.0,40.5,39.5,40.0,39.400001525878906,13591100
2025-03-27T03:00:00Z,40.0,40.25,39.25,39.5,38.907501220703125,23908900
2025-03-28T03:00:00Z,39.25,39.25,38.25,38.5,37.92250061035156,21802700
2025-03-31T03:00:00Z,37.0,38.5,37.0,37.75,37.18375015258789,32351100
2025-04-01T03:00:00Z,37.75,39.25,37.75,38.5,37.92250061035156,20886200
2025-04-02T03:00:00Z,38.75,39.75,38.5,39.25,38.661251068115234,24175800
2025-04-03T03:00:00Z,38.75,39.0,38.25,38.75,38.16875076293945,20367100
2025-04-04T03:00:00Z,38.75,39.0,37.0,37.25,36.69124984741211,33525600
